 , T1, T2, T3, T4, T5, T6, T7, T8, T9
mmu-miR-34b-5p,0.552829524,0.677514402,0.963027114,1.089482967,1.180410201,1.458529501,1.41337939,1.537898304,1.438311507
mmu-miR-335-5p,0.161881872,0.373404129,0.830950623,1.030946099,1.047013372,1.415425185,1.467669165,1.607446535,1.554926598
mmu-miR-685,1.230446696,1.340003871,1.079540478,0.991303738,0.826378627,0.791209456,0.751537639,0.753786701,0.724931787
mmu-miR-10a,0.716749261,1.047176692,1.311587261,1.500540789,1.583039594,1.579982855,1.349714785,1.384642305,1.357284156
mmu-miR-29c,0.785332928,0.487854263,0.708271896,0.8834826,1.068266757,1.159064697,1.238016415,1.286339992,1.287566522
mmu-miR-100,0.210522676,0.401055278,0.622817522,0.729687133,0.727052565,0.85159682,0.875219702,0.936480541,1.049128163
mmu-miR-467b,0.643770816,0.888067224,0.906702401,0.894915841,0.810026447,0.807504372,0.788401069,0.783885494,0.813325647
mmu-miR-709,1.97855497,1.734699415,1.256060501,1.189264467,1.107113457,0.872105599,0.801635078,0.802758812,0.613674471
mmu-miR-222,1.10043989,0.863824322,1.08127185,1.149918528,1.442134327,1.555832379,1.474703803,1.564220961,1.424475455
mmu-miR-154,0.300721258,0.518929665,0.969678457,1.054764499,1.118648831,1.305770288,1.292803481,1.30396804,1.357039122
mmu-miR-214,1.207027323,1.10224573,1.235667771,1.302676694,1.267693593,1.304616462,1.302096294,1.239373022,1.250168984
mmu-miR-199a-5p,0.660387866,0.808772906,0.940710599,1.00221584,1.132971784,1.213364782,1.328418708,1.326372096,1.323628838
mmu-miR-107,0.733276047,0.909829966,1.047116907,1.126602938,1.071035767,1.142259278,1.117225646,1.207331718,1.063398139
mmu-miR-691,1.739954354,1.611266465,1.165460563,1.152679674,1.027863798,0.882887752,0.820223396,0.79521655,0.684127565
mmu-miR-221,0.962225555,0.851367447,0.968005896,1.118673378,1.31782683,1.486117831,1.477951426,1.626748406,1.614400898
mmu-miR-184,1.083170688,0.812907384,0.759703565,0.796137996,0.864703944,0.876258195,1.137304437,1.05170018,1.230085214
mmu-miR-182,1.48045721,1.988772699,1.594647364,1.205917099,0.902058469,0.883302125,0.681901714,0.720380389,0.77082502
mmu-miR-145,0.636414326,0.746787523,1.168709805,1.372288476,1.364362809,1.443029462,1.282936673,1.390914676,1.23582473
mmu-miR-503,0.357042465,2.117638227,1.313484379,1.045583413,0.815151212,0.767429659,0.594506641,0.622126765,0.388710106
mmu-miR-15a,0.584307723,0.799756506,0.982050905,1.011375809,0.966817348,0.991744493,0.997781849,1.08464817,1.069938167
mmu-miR-805,2.384392235,1.24237181,0.707136345,0.6639325,0.697075338,0.753838809,0.952190995,0.906440468,0.799041547
mmu-miR-199a-3p,0.527531022,0.706242507,0.960153351,0.967816094,1.18098343,1.211712907,1.239422758,1.247390452,1.215748002
mmu-miR-467e,0.723377921,0.747283943,0.888355191,1.013003736,0.803125735,0.957523264,0.864951639,0.848624518,0.891262438
mmu-miR-29a,1.430746412,0.776948208,0.971828327,1.183277884,1.174514296,1.273959428,1.178250459,1.170958783,1.08911718
mmu-miR-34c,0.746271149,0.783849208,1.04462445,1.097374109,1.256770172,1.520780876,1.400012015,1.503285978,1.492226853
mmu-miR-668,1.429738976,1.091562871,0.946465966,1.021294442,0.892858656,1.12435159,0.92847344,0.938155905,0.991581396
mmu-miR-30b,0.570534329,0.758702046,1.029448182,1.038895466,0.966905468,1.069208413,1.085654031,1.06540022,1.125575457
mmu-miR-720,1.789034157,1.360281435,0.855647194,0.944086688,0.862555345,0.801303231,0.854312231,0.872856841,0.838411013
mmu-miR-17,2.09444798,1.571190805,1.505823608,1.359080668,1.058766349,0.93841381,0.808389507,0.826614216,0.858195593
mmu-miR-20a,2.315144074,1.736725438,1.556832468,1.40172563,1.036254319,0.949829277,0.79847078,0.796476232,0.899436523
mmu-miR-23a,1.019192411,0.727586031,0.731202668,0.672102927,0.689616055,0.783401564,0.902586809,0.94376918,0.965626874
mmu-miR-466d-3p,0.872110142,0.957957619,0.902468279,0.925357406,0.96232399,0.912356545,0.837572085,0.840023005,0.875936897
